ID,fluxo_AH,Fluxo iOD907
aaeij,0.0,0.0
aaeja,0.004094246,0.0106829215400107
aaejb,0.0,0.0
aaejc,0.0,0.0
aaejd,0.0,0.0
aaeje,0.0,0.0
aaejf,0.0,0.0
aaejg,0.0,0.0
aaejh,0.0,0.0
EX_00693_,0.0,0.0
aaeji,0.0,0.0
aaejj,0.0,0.0
aafaa,0.00492643,0.012854299708018217
aafab,7.48e-05,0.000195172085700957
aafac,0.0,0.0
aafad,0.0,0.0
EX_00698_,0.0,0.0
aafae,0.0,0.0
aafaf,0.0,0.0
aafag,0.0,0.0
aafah,0.0,0.0
EX_00702_,0.0,0.0
aafai,0.0,0.0
EX_00704_,0.0,0.0
aafaj,0.009393622,0.024510331524417048
aafba,0.0024612600000008004,0.006421960050819266
aafbb,0.0,0.0
aafbc,0.0,0.0
aafbd,0.0,0.0
aafbe,0.0,-1.5612511283791264e-17
aafbf,0.0,0.0
aafbg,0.0,0.0
aafbh,0.0,0.0
EX_00709_,0.0,0.0
aafbi,0.0,0.0
aafbj,0.0,0.0
aafca,0.0,0.0
aafcb,0.0,0.0
EX_00711_,0.0,0.0
aafcc,0.0,0.0
aafcd,0.0,0.0
aafce,0.0,0.0
aafcf,0.0026234400000000003,0.00684521733303902
aafcg,0.0,0.0
aafch,0.0,0.0
EX_00720_,0.0,0.0
aafci,0.0,0.0
aafcj,0.0,0.0
aafda,0.0,0.0
EX_00722_,0.0,0.0
aafdb,0.0,0.0
EX_00723_,0.0,0.0
aafdc,0.0,0.0
EX_00724_,0.0,0.0
aafdd,0.0,0.0
EX_00726_,0.0,0.0
aafde,0.0,0.0
aafdf,0.0007956,0.0020759212751829065
aafdg,0.0,0.0
aafdh,0.0,0.0
aafdi,0.0026234400000000003,0.00684521733303902
aafdj,0.0,0.0
aafea,0.0,0.0
aafeb,2.0400000000000003e-07,5.322875064567127e-07
aafec,0.0013608840000000008,0.003550889955575674
aafed,0.0,0.0
aafee,0.0,0.0
EX_00740_,0.0,0.0
aafef,0.0,0.0
aafeg,0.0,0.0
aafeh,0.0,0.0
EX_00741_,0.0,0.0
EX_00743_,0.0,0.0
aafei,0.002505698,0.006537998727228829
aafej,0.0,0.0
aaffa,0.0,0.0
aaffb,0.0,0.0
aaffc,0.0,0.0
EX_00748_,0.0,0.0
aaffd,0.0,0.0
EX_00749_,0.0,0.0
aaffe,0.0,0.0
EX_00751_,0.0,0.0
aafff,6.561999999999947e-06,1.712191479103839e-05
aaffg,0.0,0.0
aaffh,0.0,0.0
aaffi,0.0,0.0
aaffj,0.0,0.0
aafga,0.0,0.0
aafgb,0.0,0.0
aafgc,0.0,0.0
aafgd,0.0,0.0
aafge,0.0,0.0
aafgf,0.0,0.0
EX_00756_,3.3070270362341305,4.003472837885322
EX_00757_,-1.0,-1.0
EX_00758_,0.0,0.0
EX_00759_,0.0,0.0
aafgg,0.0,0.0
EX_00760_,0.0,0.0
EX_00761_,0.0,0.0
aafgh,0.0,0.0
aafgi,0.0,0.0
EX_00763_,0.0,0.0
EX_00764_,0.0,0.0
EX_00765_,0.0,0.0
aafgj,0.0,0.0
aafha,0.7400902054286262,0.25437604749332415
aafhb,0.0,0.0
aafhc,0.0,0.0
aafhd,0.0,0.0
EX_00773_,0.0,0.0
aafhe,0.0,0.0
EX_00775_,0.0,0.0
aafhf,0.0,0.0
EX_00777_,0.0,0.0
aafhg,0.0,0.0
EX_00778_,0.0,0.0
aafhh,0.0,0.0
EX_00780_,0.0,0.0
aafhi,0.0,0.0
EX_00781_,0.0,0.0
aafhj,0.0,0.0
aafia,0.0,0.0
EX_00784_,0.0,0.0
aafib,0.0,0.0
aafic,0.0,0.0
EX_00786_,0.0,0.0
aafid,0.0,0.0
EX_00787_,0.0,0.0
aafie,0.0,0.0
aafif,0.0,0.0
EX_00789_,0.0,0.0
aafig,0.0,0.0
aafih,0.0,0.0
aafii,0.0,0.0
aafij,0.0,0.0
aafja,1.802e-06,4.701872973704874e-06
EX_00793_,-1.802e-06,-4.701872973704874e-06
aafjb,0.0,0.0
aafjc,0.0,0.0
aafjd,0.0,0.0
EX_00796_,0.0,0.0
aafje,0.0,0.0
EX_00797_,0.0,0.0
aafjf,0.0,0.0
aafjg,5.83983999999996e-06,1.5237617018180081e-05
aafjh,0.0,0.0
EX_00801_,0.0,0.0
aafji,0.0,0.0
aafjj,0.034,0.08871458440952591
EX_00807_,0.034,0.08871458440952591
aagaa,0.0,0.0
EX_00815_,0.0,0.0
aagab,2.029376631482635,2.905368004075765
aagac,0.0,0.0
EX_00816_,0.0,0.0
aagad,0.0,0.0
aagae,0.0,0.0
EX_00819_,0.0,0.0
aagaf,-0.00020828400000000004,-0.0005434655440927555
aagag,0.0,0.0
aagah,0.0,0.0
EX_00820_,0.0,0.0
aagai,0.0,0.0
EX_00821_,0.0,0.0
aagaj,0.0,0.0
EX_00822_,0.0,0.0
aagba,0.0,0.0
aagbb,0.0,0.0
aagbc,0.0,0.0
aagbd,0.0,0.0
aagbe,0.0,0.0
aagbf,-0.001427354,-0.003724326968096307
aagbg,0.0,0.0
aagbh,0.0,0.0
EX_00829_,0.0,0.0
aagbi,0.0,0.0
aagbj,0.0,0.0
aagca,0.0,0.0
aagcb,0.0,0.0
aagcc,0.0,0.0
EX_00836_,0.0,0.0
aagcd,0.0,0.0
aagce,0.0,0.0
aagcf,0.0,0.0
aagcg,0.609555923818963,1.1664906801805328
aagch,0.0,0.0
aagci,0.0,0.0
aagcj,0.0,0.0
aagda,0.0,0.0
aagdb,0.0,0.0
EX_00844_,0.0,0.0
aagdc,0.0,0.0
aagdd,0.0,0.0
EX_00845_,0.0,0.0
aagde,-0.010774180666666026,-0.028112616795895832
aagdf,0.0,0.0
aagdg,0.0,3.6089092937794944e-06
aagdh,0.0,0.0
EX_00848_,0.0,0.0
aagdi,0.0,0.0
aagdj,0.0,0.0
aagea,0.0,0.0
EX_00850_,0.0,0.0
EX_00851_,-0.005735018000000203,-0.014964198669035644
aageb,0.0,0.0
aagec,0.0,0.0
aaged,0.0,0.0
EX_00854_,0.0,0.0
aagee,0.0,0.0
EX_00855_,0.0,0.0
aagef,0.0,0.0
aageg,1.7340000000000003e-06,4.524443804885379e-06
aageh,0.0,0.0
aagei,0.0,0.0
aagej,0.019381632000000003,0.050571571413481425
aagfa,0.0,0.0
EX_00861_,0.0,0.0
aagfb,0.0,0.0
aagfc,0.0,0.0
aagfd,0.0,0.0
EX_00864_,0.0,0.0
aagfe,0.0,0.0
aagff,0.0,0.0
aagfg,0.0,0.0
EX_00869_,0.0,0.0
aagfh,0.0,0.0
aagfi,0.0,0.0
aagfj,0.0,0.0
aagga,0.0,0.0
EX_00874_,0.0,0.0
aaggb,0.0,0.0
EX_00875_,0.0,0.0
aaggc,0.0,0.0
aaggd,0.0,0.0
aagge,0.0,0.0
aaggf,0.0,0.0
EX_00878_,0.0,0.0
aaggg,0.0,0.0
aaggh,0.2801497805428738,0.17207932452081975
aaggi,0.0,0.0
